"Time","Brunello Cucinelli"
"2021-08-01",14
"2021-09-01",17
"2021-10-01",15
"2021-11-01",15
"2021-12-01",17
"2022-01-01",17
"2022-02-01",13
"2022-03-01",13
"2022-04-01",15
"2022-05-01",14
"2022-06-01",19
"2022-07-01",13
"2022-08-01",14
"2022-09-01",15
"2022-10-01",13
"2022-11-01",16
"2022-12-01",20
"2023-01-01",21
"2023-02-01",20
"2023-03-01",13
"2023-04-01",16
"2023-05-01",16
"2023-06-01",12
"2023-07-01",15
"2023-08-01",17
"2023-09-01",36
"2023-10-01",43
"2023-11-01",51
"2023-12-01",56
"2024-01-01",58
"2024-02-01",51
"2024-03-01",48
"2024-04-01",45
"2024-05-01",45
"2024-06-01",42
"2024-07-01",47
"2024-08-01",45
"2024-09-01",56
"2024-10-01",54
"2024-11-01",55
"2024-12-01",59
"2025-01-01",57
"2025-02-01",53
"2025-03-01",51
"2025-04-01",50
"2025-05-01",54
"2025-06-01",58
"2025-07-01",63
"2025-08-01",64
"2025-09-01",86
"2025-10-01",86
"2025-11-01",81
"2025-12-01",100
"2026-01-01",83
"2026-02-01",95
"2026-03-01",74
"2026-04-01",73
"2026-05-01",74
"2026-06-01",66
"2026-07-01",67
"2026-08-01",61
